,Unnamed: 0.1,Unnamed: 0,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Per_Age,Work_Ratio,Loyalty_Ratio,OverTime_Binary,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age_Group_Old,Age_Group_Senior,Age_Group_Young,Income_Level_Low,Income_Level_Medium,Income_Level_Very_High
1156,433,433,46,1125,10,3,1,580,3,0,94,2,3,4,9071,11563,2,Y,19,3,3,80,1,15,3,3,3,2,1,2,193.0,0.3191489361702128,0.1875,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
1157,213,213,51,1469,8,4,1,296,2,1,81,2,3,2,12490,15736,5,Y,16,3,4,80,2,16,5,1,10,9,4,7,240.19230769230768,0.3076923076923077,0.5882352941176471,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1158,565,565,23,310,10,1,1,784,1,1,79,4,1,3,3505,19630,1,Y,18,3,4,80,0,2,3,3,2,2,0,2,146.04166666666666,0.0833333333333333,0.6666666666666666,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
1159,187,187,55,692,14,4,1,254,3,1,61,4,5,2,18722,13339,8,Y,11,3,4,80,0,36,3,3,24,15,2,15,334.32142857142856,0.6428571428571429,0.6486486486486487,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
1160,1235,1235,46,1277,2,3,1,1732,3,1,74,3,3,4,10368,5596,4,Y,12,3,2,80,1,13,5,2,10,6,0,3,220.59574468085103,0.2765957446808511,0.7142857142857143,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1161,143,143,30,438,18,3,1,194,1,0,75,3,1,3,2632,23910,1,Y,14,3,3,80,0,5,4,2,5,4,0,4,84.90322580645162,0.1612903225806451,0.8333333333333334,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
1162,1310,1310,58,1216,15,4,1,1837,1,1,87,3,4,3,15787,21624,2,Y,14,3,2,80,0,23,3,3,2,2,2,2,267.5762711864407,0.3898305084745763,0.0833333333333333,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1163,1275,1275,51,942,3,3,1,1786,1,0,53,3,3,3,13116,22984,2,Y,11,3,4,80,0,15,2,3,2,2,2,2,252.23076923076923,0.2884615384615384,0.125,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1164,441,441,42,1474,5,2,1,591,2,1,97,3,1,3,2093,9260,4,Y,17,3,4,80,1,8,4,3,2,2,2,0,48.674418604651166,0.1860465116279069,0.2222222222222222,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1165,321,321,31,691,7,3,1,438,4,1,73,3,2,4,7547,7143,4,Y,12,3,4,80,3,13,3,3,7,7,1,7,235.84375,0.40625,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1166,1087,1087,34,1440,7,2,1,1541,2,1,55,3,1,3,2308,4944,0,Y,25,4,2,80,1,12,4,3,11,10,5,7,65.94285714285714,0.3428571428571428,0.8461538461538461,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1167,411,411,60,422,7,3,1,549,1,0,41,3,5,1,19566,3854,5,Y,11,3,4,80,0,33,5,1,29,8,11,10,320.75409836065575,0.5409836065573771,0.8529411764705882,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1168,1001,1001,37,1462,11,3,1,1411,1,0,94,3,1,3,3629,19106,4,Y,18,3,1,80,0,8,6,3,3,2,0,2,95.5,0.2105263157894736,0.3333333333333333,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1169,1380,1380,35,682,18,4,1,1945,2,1,71,3,2,1,5561,15975,0,Y,16,3,4,80,1,6,2,1,5,3,0,4,154.47222222222223,0.1666666666666666,0.7142857142857143,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1170,365,365,46,1144,7,4,1,487,3,0,30,3,2,3,5258,16044,2,Y,14,3,3,80,0,7,2,4,1,0,0,0,111.87234042553192,0.1489361702127659,0.125,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1172,963,963,38,1009,2,2,1,1355,2,0,31,3,2,1,6893,19461,3,Y,15,3,4,80,1,11,3,3,7,7,1,7,176.74358974358975,0.282051282051282,0.5833333333333334,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1173,734,734,22,217,8,1,1,1019,2,1,94,1,1,1,2451,6881,1,Y,15,3,1,80,1,4,3,2,4,3,1,1,106.56521739130434,0.1739130434782608,0.8,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1174,1315,1315,36,430,2,4,1,1847,4,0,73,3,2,2,6962,19573,4,Y,22,4,4,80,1,15,2,3,1,0,0,0,188.16216216216216,0.4054054054054054,0.0625,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1175,1292,1292,39,766,20,3,1,1812,3,1,83,3,2,4,4127,19188,2,Y,18,3,4,80,1,7,6,3,2,1,2,2,103.175,0.175,0.25,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1599,720,720,30,138,22,3,1,1004,1,0,48,3,1,3,2132,11539,4,Y,11,3,2,80,0,7,2,3,5,2,0,1,68.7741935483871,0.2258064516129032,0.625,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
1437,1136,1136,28,329,24,3,1,1604,3,1,51,3,1,2,2408,7324,1,Y,17,3,3,80,3,1,3,3,1,1,0,0,83.03448275862068,0.0344827586206896,0.5,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1717,102,102,20,871,6,3,1,137,4,0,66,2,1,4,2926,19783,1,Y,18,3,2,80,0,1,5,3,1,0,1,0,139.33333333333334,0.0476190476190476,0.5,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1422,842,842,28,1485,12,1,1,1175,3,0,79,3,1,4,2515,22955,1,Y,11,3,4,80,0,1,4,2,1,1,0,0,86.72413793103448,0.0344827586206896,0.5,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1261,1213,1213,23,427,7,3,1,1702,3,1,99,3,1,4,2275,25103,1,Y,21,4,2,80,1,3,2,3,3,2,0,2,94.79166666666669,0.125,0.75,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1568,385,385,30,464,4,3,1,514,3,1,40,3,1,4,2285,3427,9,Y,23,4,3,80,0,3,4,3,1,0,0,0,73.70967741935483,0.0967741935483871,0.25,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
1693,421,421,29,408,25,5,1,565,3,0,71,2,1,2,2546,18300,5,Y,16,3,2,80,0,6,2,4,2,2,1,1,84.86666666666666,0.2,0.2857142857142857,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
1285,368,368,40,575,22,2,1,492,3,1,68,2,2,3,6380,6110,2,Y,12,3,1,80,2,8,6,3,6,4,1,0,155.609756097561,0.1951219512195122,0.6666666666666666,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1704,89,89,46,669,9,2,1,118,3,1,64,2,3,4,9619,13596,1,Y,16,3,4,80,0,9,3,3,9,8,4,7,204.6595744680851,0.1914893617021276,0.9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
1480,1058,1058,34,790,24,4,1,1489,1,0,40,2,2,2,4599,7815,0,Y,23,4,3,80,0,16,2,4,15,9,10,10,131.4,0.4571428571428571,0.8823529411764706,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1337,706,706,40,1479,24,3,1,986,2,0,100,4,4,2,13194,17071,4,Y,16,3,4,80,0,22,2,2,1,0,0,0,321.8048780487805,0.5365853658536586,0.0434782608695652,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1580,107,107,25,240,5,3,1,142,3,1,46,2,2,3,5744,26959,1,Y,11,3,4,80,0,6,1,3,6,4,0,3,220.92307692307693,0.2307692307692307,0.8571428571428571,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1638,378,378,34,1362,19,3,1,502,1,1,67,4,2,4,5304,4652,8,Y,13,3,2,80,0,9,3,2,5,2,0,4,151.54285714285714,0.2571428571428571,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1852,776,776,20,769,9,3,1,1077,4,0,54,3,1,4,2323,17205,1,Y,14,3,2,80,0,2,3,3,2,2,0,2,110.61904761904762,0.0952380952380952,0.6666666666666666,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
1280,913,913,45,1449,2,3,1,1277,1,0,94,1,5,2,18824,2493,2,Y,16,3,1,80,0,26,2,3,24,10,1,11,409.2173913043478,0.5652173913043478,0.8888888888888888,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
393,457,457,18,1306,5,3,1,614,2,1,69,3,1,2,1878,8059,1,Y,14,3,4,80,0,0,3,3,0,0,0,0,98.84210526315788,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1363,966,966,58,601,7,4,1,1360,3,0,53,2,3,1,10008,12023,7,Y,14,3,4,80,0,31,0,2,10,9,5,9,169.6271186440678,0.5254237288135594,0.3125,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1668,1213,1213,23,427,7,3,1,1702,3,1,99,3,1,4,2275,25103,1,Y,21,4,2,80,1,3,2,3,3,2,0,2,94.79166666666669,0.125,0.75,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1741,1006,1006,49,1475,28,2,1,1420,1,1,97,2,2,1,4284,22710,3,Y,20,4,1,80,0,20,2,3,4,3,1,3,85.68,0.4,0.1904761904761904,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
676,14,14,28,103,24,3,1,19,3,1,50,2,1,3,2028,12947,5,Y,14,3,2,80,0,6,4,3,4,2,0,3,69.93103448275862,0.2068965517241379,0.5714285714285714,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
846,327,327,39,1162,3,2,1,445,4,0,41,3,2,3,5238,17778,4,Y,18,3,1,80,0,12,3,2,1,0,0,0,130.95,0.3,0.0769230769230769,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
394,296,296,18,230,3,3,1,405,3,1,54,3,1,3,1420,25233,1,Y,13,3,3,80,0,0,2,3,0,0,0,0,74.73684210526316,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1818,317,317,52,723,8,4,1,433,3,1,85,2,2,2,4941,17747,2,Y,15,3,1,80,0,11,3,2,8,2,7,7,93.22641509433964,0.2075471698113207,0.6666666666666666,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
1199,585,585,23,1243,6,3,1,811,3,1,63,4,1,1,1601,3445,1,Y,21,4,3,80,2,1,2,3,0,0,0,0,66.70833333333333,0.0416666666666666,0.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1656,414,414,24,1448,1,1,1,554,1,0,62,3,1,2,3202,21972,1,Y,16,3,2,80,0,6,4,3,5,3,1,4,128.08,0.24,0.7142857142857143,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
1472,614,614,26,887,5,2,1,848,3,0,88,2,1,3,2366,20898,1,Y,14,3,1,80,1,8,2,3,8,7,1,7,87.62962962962963,0.2962962962962963,0.8888888888888888,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
1411,1290,1290,34,234,9,4,1,1807,4,1,93,3,2,1,5346,6208,4,Y,17,3,3,80,1,11,3,2,7,1,0,7,152.74285714285713,0.3142857142857143,0.5833333333333334,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1349,421,421,29,408,25,5,1,565,3,0,71,2,1,2,2546,18300,5,Y,16,3,2,80,0,6,2,4,2,2,1,1,84.86666666666666,0.2,0.2857142857142857,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
460,1262,1262,43,807,17,3,1,1767,3,1,38,2,1,3,2437,15587,9,Y,16,3,4,80,1,6,4,3,1,0,0,0,55.38636363636363,0.1363636363636363,0.1428571428571428,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1284,913,913,45,1449,2,3,1,1277,1,0,94,1,5,2,18824,2493,2,Y,16,3,1,80,0,26,2,3,24,10,1,11,409.2173913043478,0.5652173913043478,0.8888888888888888,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
541,1273,1273,22,1294,8,1,1,1783,3,0,79,3,1,1,2398,15999,1,Y,17,3,3,80,0,1,6,3,1,0,0,0,104.2608695652174,0.0434782608695652,0.5,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
345,1060,1060,24,381,9,3,1,1494,2,1,89,3,1,1,3172,16998,2,Y,11,3,3,80,0,4,2,2,0,0,0,0,126.88,0.16,0.0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1406,1056,1056,28,1496,1,3,1,1486,1,1,92,3,1,3,2909,15747,3,Y,15,3,4,80,1,5,3,4,3,2,1,2,100.3103448275862,0.1724137931034483,0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
1223,205,205,29,121,27,3,1,283,2,0,35,3,3,4,7639,24525,1,Y,22,4,4,80,3,10,3,2,10,4,1,9,254.63333333333333,0.3333333333333333,0.9090909090909092,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1835,1058,1058,34,790,24,4,1,1489,1,0,40,2,2,2,4599,7815,0,Y,23,4,3,80,0,16,2,4,15,9,10,10,131.4,0.4571428571428571,0.8823529411764706,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1207,1205,1205,32,1259,2,4,1,1692,4,1,95,3,1,2,1393,24852,1,Y,12,3,1,80,0,1,2,3,1,0,0,0,42.21212121212121,0.0303030303030303,0.5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1348,1223,1223,47,1093,9,3,1,1716,3,1,82,1,4,3,12936,24164,7,Y,11,3,3,80,0,25,3,1,23,5,14,10,269.5,0.5208333333333334,0.8846153846153846,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
171,798,798,33,1017,25,3,1,1108,1,1,55,2,1,2,2313,2993,4,Y,20,4,2,80,0,5,0,3,2,2,2,2,68.02941176470588,0.1470588235294117,0.3333333333333333,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
201,1032,1032,39,592,2,3,1,1458,1,0,54,2,1,1,3646,17181,2,Y,23,4,2,80,0,11,2,4,1,0,0,0,91.15,0.275,0.0833333333333333,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1463,608,608,55,436,2,1,1,842,3,1,37,3,2,4,5160,21519,4,Y,16,3,3,80,0,12,3,2,9,7,7,3,92.14285714285714,0.2142857142857142,0.6923076923076923,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
1252,439,439,31,534,20,3,1,587,1,1,66,3,3,3,9824,22908,3,Y,12,3,1,80,0,12,2,3,1,0,0,0,307.0,0.375,0.0769230769230769,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1059,980,980,31,703,2,3,1,1379,3,0,90,2,1,4,2785,11882,7,Y,14,3,3,80,0,3,3,4,1,0,0,0,87.03125,0.09375,0.25,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1575,1033,1033,31,1445,1,5,1,1459,3,0,100,4,3,2,7446,8931,1,Y,11,3,1,80,0,10,2,3,10,8,4,7,232.6875,0.3125,0.9090909090909092,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1267,591,591,33,118,16,3,1,819,1,0,69,3,2,1,5324,26507,5,Y,15,3,3,80,0,6,3,3,3,2,0,2,156.58823529411765,0.1764705882352941,0.4285714285714285,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1479,368,368,40,575,22,2,1,492,3,1,68,2,2,3,6380,6110,2,Y,12,3,1,80,2,8,6,3,6,4,1,0,155.609756097561,0.1951219512195122,0.6666666666666666,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1629,797,797,26,1330,21,3,1,1107,1,1,37,3,1,3,2377,19373,1,Y,20,4,3,80,1,1,0,2,1,1,0,0,88.03703703703704,0.037037037037037,0.5,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1655,1056,1056,28,1496,1,3,1,1486,1,1,92,3,1,3,2909,15747,3,Y,15,3,4,80,1,5,3,4,3,2,1,2,100.3103448275862,0.1724137931034483,0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
1465,469,469,32,1474,11,4,1,631,4,1,60,4,2,3,4707,23914,8,Y,12,3,4,80,0,6,2,3,4,2,1,2,142.63636363636363,0.1818181818181818,0.5714285714285714,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1266,798,798,33,1017,25,3,1,1108,1,1,55,2,1,2,2313,2993,4,Y,20,4,2,80,0,5,0,3,2,2,2,2,68.02941176470588,0.1470588235294117,0.3333333333333333,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1521,1375,1375,32,238,5,2,1,1939,1,0,47,4,1,3,2432,15318,3,Y,14,3,1,80,0,8,2,3,4,1,0,3,73.6969696969697,0.2424242424242424,0.4444444444444444,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1764,479,479,24,1287,7,3,1,647,1,0,55,3,1,3,2886,14168,1,Y,16,3,4,80,1,6,4,3,6,3,1,2,115.44,0.24,0.8571428571428571,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1476,1031,1031,46,377,9,3,1,1457,1,1,52,3,3,4,10096,15986,4,Y,11,3,1,80,1,28,1,4,7,7,4,3,214.80851063829783,0.5957446808510638,0.2413793103448276,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1744,259,259,31,307,29,2,1,355,3,1,71,2,1,2,3479,11652,0,Y,11,3,2,80,0,6,2,4,5,4,1,4,108.71875,0.1875,0.7142857142857143,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1720,585,585,23,1243,6,3,1,811,3,1,63,4,1,1,1601,3445,1,Y,21,4,3,80,2,1,2,3,0,0,0,0,66.70833333333333,0.0416666666666666,0.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1574,127,127,19,528,22,1,1,167,4,1,50,3,1,3,1675,26820,1,Y,19,3,4,80,0,0,2,2,0,0,0,0,83.75,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
1646,997,997,27,135,17,4,1,1405,4,0,51,3,1,3,2394,25681,1,Y,13,3,4,80,0,8,2,3,8,2,7,7,85.5,0.2857142857142857,0.8888888888888888,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
1616,259,259,31,307,29,2,1,355,3,1,71,2,1,2,3479,11652,0,Y,11,3,2,80,0,6,2,4,5,4,1,4,108.71875,0.1875,0.7142857142857143,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1426,1298,1298,46,261,21,2,1,1821,4,0,66,3,2,2,8926,10842,4,Y,22,4,4,80,1,13,2,4,9,7,3,7,189.91489361702128,0.2765957446808511,0.6428571428571429,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1886,439,439,31,534,20,3,1,587,1,1,66,3,3,3,9824,22908,3,Y,12,3,1,80,0,12,2,3,1,0,0,0,307.0,0.375,0.0769230769230769,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1969,513,513,20,1362,10,1,1,701,4,1,32,3,1,3,1009,26999,1,Y,11,3,4,80,0,1,5,3,1,0,1,1,48.04761904761905,0.0476190476190476,0.5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
839,1312,1312,31,359,18,5,1,1842,4,1,89,4,1,1,2956,21495,0,Y,17,3,3,80,0,2,4,3,1,0,0,0,92.375,0.0625,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
248,528,528,50,562,8,2,1,723,2,1,50,3,2,3,6796,23452,3,Y,14,3,1,80,1,18,4,3,4,3,1,3,133.2549019607843,0.3529411764705882,0.2105263157894736,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1345,857,857,44,1097,10,4,1,1200,3,1,96,3,1,3,2936,10826,1,Y,11,3,3,80,0,6,4,3,6,4,0,2,65.24444444444444,0.1333333333333333,0.8571428571428571,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
1230,796,796,25,1219,4,1,1,1106,4,1,32,3,1,4,3691,4605,1,Y,15,3,2,80,1,7,3,4,7,7,5,6,141.96153846153845,0.2692307692307692,0.875,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1282,264,264,28,529,2,4,1,364,1,1,79,3,1,3,3485,14935,2,Y,11,3,3,80,0,5,5,1,0,0,0,0,120.17241379310344,0.1724137931034483,0.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1341,214,214,30,1005,3,3,1,297,4,0,88,3,1,1,2657,8556,5,Y,11,3,3,80,0,8,5,3,5,2,0,4,85.70967741935483,0.2580645161290322,0.5555555555555556,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
1924,453,453,26,426,17,4,1,608,2,0,58,3,1,3,2741,22808,0,Y,11,3,2,80,1,8,2,2,7,7,1,0,101.51851851851852,0.2962962962962963,0.7777777777777778,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
400,761,761,36,660,15,3,1,1052,1,1,81,3,2,3,4834,7858,7,Y,14,3,2,80,1,9,3,2,1,0,0,0,130.64864864864865,0.2432432432432432,0.1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1435,573,573,26,1146,8,3,1,796,4,1,38,2,2,1,5326,3064,6,Y,17,3,3,80,0,6,2,2,4,3,1,2,197.25925925925927,0.2222222222222222,0.5714285714285714,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1907,214,214,30,1005,3,3,1,297,4,0,88,3,1,1,2657,8556,5,Y,11,3,3,80,0,8,5,3,5,2,0,4,85.70967741935483,0.2580645161290322,0.5555555555555556,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
1328,250,250,37,504,10,3,1,342,1,1,61,3,3,3,10048,22573,6,Y,11,3,2,80,2,17,5,3,1,0,0,0,264.42105263157896,0.4473684210526316,0.0555555555555555,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1298,666,666,22,617,3,1,1,926,2,0,34,3,2,3,4171,10022,0,Y,19,3,1,80,1,4,3,4,3,2,0,2,181.34782608695653,0.1739130434782608,0.6,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
995,1136,1136,28,329,24,3,1,1604,3,1,51,3,1,2,2408,7324,1,Y,17,3,3,80,3,1,3,3,1,1,0,0,83.03448275862068,0.0344827586206896,0.5,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1747,385,385,30,464,4,3,1,514,3,1,40,3,1,4,2285,3427,9,Y,23,4,3,80,0,3,4,3,1,0,0,0,73.70967741935483,0.0967741935483871,0.25,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
1933,813,813,39,203,2,3,1,1127,1,1,84,3,4,4,12169,13547,7,Y,11,3,4,80,3,21,4,3,18,7,11,5,304.225,0.525,0.8181818181818182,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1296,1271,1271,21,337,7,1,1,1780,2,1,31,3,1,2,2679,4567,1,Y,13,3,2,80,0,1,3,3,1,0,1,0,121.77272727272728,0.0454545454545454,0.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
